
   	      	                  fitness                  	                      size                     
   	      	-------------------------------------------	-----------------------------------------------
gen	nevals	avg  	gen	max  	min  	nevals	std	avg 	gen	max	min	nevals	std    
0  	200   	1e+06	0  	1e+06	1e+06	200   	0  	11.6	0  	51 	2  	200   	9.86408
1  	88    	1e+06	1  	1e+06	1e+06	88    	0  	11.665	1  	51 	2  	88    	9.4283 
2  	94    	1e+06	2  	1e+06	1e+06	94    	0  	12.31 	2  	51 	2  	94    	9.79714
3  	106   	1e+06	3  	1e+06	1e+06	106   	0  	12.505	3  	57 	2  	106   	10.8065
4  	121   	1e+06	4  	1e+06	1e+06	121   	0  	12.235	4  	50 	1  	121   	10.539 
5  	117   	1e+06	5  	1e+06	1e+06	117   	0  	12.06 	5  	50 	1  	117   	10.563 
6  	101   	1e+06	6  	1e+06	1e+06	101   	0  	11.98 	6  	54 	1  	101   	10.7452
7  	112   	1e+06	7  	1e+06	1e+06	112   	0  	12.49 	7  	55 	1  	112   	11.581 
8  	111   	1e+06	8  	1e+06	1e+06	111   	0  	12.645	8  	58 	1  	111   	12.3774
9  	115   	1e+06	9  	1e+06	1e+06	115   	0  	12.57 	9  	55 	1  	115   	11.518 
10 	122   	1e+06	10 	1e+06	1e+06	122   	0  	11.06 	10 	55 	1  	122   	11.2128
11 	116   	1e+06	11 	1e+06	1e+06	116   	0  	10.91 	11 	56 	1  	116   	10.8214
12 	103   	1e+06	12 	1e+06	1e+06	103   	0  	9.675 	12 	55 	1  	103   	9.5026 
13 	116   	1e+06	13 	1e+06	1e+06	116   	0  	9.54  	13 	59 	1  	116   	9.84014
14 	113   	1e+06	14 	1e+06	1e+06	113   	0  	8.71  	14 	65 	1  	113   	9.77271
15 	92    	1e+06	15 	1e+06	1e+06	92    	0  	9     	15 	61 	1  	92    	9.15096
16 	119   	1e+06	16 	1e+06	1e+06	119   	0  	8.325 	16 	40 	1  	119   	7.89363
17 	109   	1e+06	17 	1e+06	1e+06	109   	0  	8.36  	17 	39 	1  	109   	7.78206
18 	105   	1e+06	18 	1e+06	1e+06	105   	0  	8.22  	18 	39 	1  	105   	8.60532
19 	114   	1e+06	19 	1e+06	1e+06	114   	0  	7.465 	19 	39 	1  	114   	6.97773
20 	108   	1e+06	20 	1e+06	1e+06	108   	0  	6.93  	20 	35 	1  	108   	6.26858
21 	90    	1e+06	21 	1e+06	1e+06	90    	0  	7.255 	21 	34 	1  	90    	6.16928
22 	120   	1e+06	22 	1e+06	1e+06	120   	0  	7.365 	22 	35 	1  	120   	6.38058
23 	108   	1e+06	23 	1e+06	1e+06	108   	0  	7.595 	23 	32 	1  	108   	6.17341
24 	109   	1e+06	24 	1e+06	1e+06	109   	0  	8.095 	24 	33 	1  	109   	7.18721
25 	103   	1e+06	25 	1e+06	1e+06	103   	0  	7.14  	25 	32 	1  	103   	6.53149
26 	104   	1e+06	26 	1e+06	1e+06	104   	0  	7.615 	26 	32 	1  	104   	7.16846
27 	93    	1e+06	27 	1e+06	1e+06	93    	0  	7.62  	27 	32 	1  	93    	6.55787
28 	125   	1e+06	28 	1e+06	1e+06	125   	0  	7.725 	28 	33 	1  	125   	7.09502
29 	107   	1e+06	29 	1e+06	1e+06	107   	0  	8.26  	29 	37 	1  	107   	7.52412
30 	109   	1e+06	30 	1e+06	1e+06	109   	0  	7.57  	30 	39 	1  	109   	6.96456
31 	109   	1e+06	31 	1e+06	1e+06	109   	0  	7.485 	31 	37 	1  	109   	7.042  
32 	101   	1e+06	32 	1e+06	1e+06	101   	0  	7.54  	32 	37 	1  	101   	6.67671
33 	97    	1e+06	33 	1e+06	1e+06	97    	0  	7.96  	33 	32 	1  	97    	6.60518
34 	101   	1e+06	34 	1e+06	1e+06	101   	0  	8.065 	34 	32 	1  	101   	6.82355
35 	127   	1e+06	35 	1e+06	1e+06	127   	0  	7.9   	35 	32 	1  	127   	6.60303
36 	111   	1e+06	36 	1e+06	1e+06	111   	0  	8.92  	36 	32 	1  	111   	7.13187
37 	110   	1e+06	37 	1e+06	1e+06	110   	0  	8.41  	37 	28 	1  	110   	6.5652 
38 	112   	1e+06	38 	1e+06	1e+06	112   	0  	8.315 	38 	32 	1  	112   	6.21013
39 	101   	1e+06	39 	1e+06	1e+06	101   	0  	8.13  	39 	31 	1  	101   	5.74831
40 	110   	1e+06	40 	1e+06	1e+06	110   	0  	8.025 	40 	31 	1  	110   	5.48583
41 	97    	1e+06	41 	1e+06	1e+06	97    	0  	7.68  	41 	31 	1  	97    	5.52246
42 	121   	1e+06	42 	1e+06	1e+06	121   	0  	7.315 	42 	34 	1  	121   	5.38756
43 	96    	1e+06	43 	1e+06	1e+06	96    	0  	7.655 	43 	31 	1  	96    	5.48142
44 	91    	1e+06	44 	1e+06	1e+06	91    	0  	8.21  	44 	32 	1  	91    	5.91911
45 	125   	1e+06	45 	1e+06	1e+06	125   	0  	8.775 	45 	24 	1  	125   	5.4694 
46 	95    	1e+06	46 	1e+06	1e+06	95    	0  	8.75  	46 	29 	1  	95    	6.05372
47 	113   	1e+06	47 	1e+06	1e+06	113   	0  	8.76  	47 	29 	1  	113   	6.3955 
48 	125   	1e+06	48 	1e+06	1e+06	125   	0  	9.005 	48 	32 	1  	125   	6.39726
49 	111   	1e+06	49 	1e+06	1e+06	111   	0  	8.815 	49 	34 	1  	111   	6.41645
50 	106   	1e+06	50 	1e+06	1e+06	106   	0  	9.185 	50 	29 	1  	106   	6.52003
51 	120   	1e+06	51 	1e+06	1e+06	120   	0  	9.385 	51 	29 	1  	120   	6.77545
52 	109   	1e+06	52 	1e+06	1e+06	109   	0  	9.875 	52 	31 	1  	109   	7.40469
53 	116   	1e+06	53 	1e+06	1e+06	116   	0  	10.83 	53 	36 	1  	116   	8.29283
54 	120   	1e+06	54 	1e+06	1e+06	120   	0  	10.575	54 	54 	1  	120   	8.85971
55 	98    	1e+06	55 	1e+06	1e+06	98    	0  	10.925	55 	40 	1  	98    	8.58483
56 	104   	1e+06	56 	1e+06	1e+06	104   	0  	10.77 	56 	33 	1  	104   	8.27388
57 	113   	1e+06	57 	1e+06	1e+06	113   	0  	11.17 	57 	34 	1  	113   	7.99194
58 	126   	1e+06	58 	1e+06	1e+06	126   	0  	11.465	58 	36 	1  	126   	7.72391
59 	117   	1e+06	59 	1e+06	1e+06	117   	0  	11.145	59 	33 	1  	117   	7.93498
60 	120   	1e+06	60 	1e+06	1e+06	120   	0  	11.14 	60 	34 	1  	120   	8.48295
61 	118   	1e+06	61 	1e+06	1e+06	118   	0  	11.105	61 	37 	1  	118   	8.96292
62 	119   	1e+06	62 	1e+06	1e+06	119   	0  	10.11 	62 	43 	1  	119   	9.41636
63 	112   	1e+06	63 	1e+06	1e+06	112   	0  	10.61 	63 	43 	1  	112   	9.53771
64 	110   	1e+06	64 	1e+06	1e+06	110   	0  	11.06 	64 	37 	1  	110   	9.40406
65 	104   	1e+06	65 	1e+06	1e+06	104   	0  	10.38 	65 	41 	1  	104   	9.37206
66 	114   	1e+06	66 	1e+06	1e+06	114   	0  	10.66 	66 	43 	1  	114   	9.64492
67 	104   	1e+06	67 	1e+06	1e+06	104   	0  	9.855 	67 	41 	1  	104   	9.20674
68 	113   	1e+06	68 	1e+06	1e+06	113   	0  	9.16  	68 	41 	1  	113   	8.50555
69 	114   	1e+06	69 	1e+06	1e+06	114   	0  	10.43 	69 	41 	1  	114   	9.49922
70 	105   	1e+06	70 	1e+06	1e+06	105   	0  	10.605	70 	42 	1  	105   	10.2249
71 	100   	1e+06	71 	1e+06	1e+06	100   	0  	10.92 	71 	43 	1  	100   	10.1061
72 	118   	1e+06	72 	1e+06	1e+06	118   	0  	11.085	72 	50 	1  	118   	10.1108
73 	118   	1e+06	73 	1e+06	1e+06	118   	0  	10    	73 	42 	1  	118   	8.34805
74 	102   	1e+06	74 	1e+06	1e+06	102   	0  	9.935 	74 	42 	1  	102   	9.19787
75 	105   	1e+06	75 	1e+06	1e+06	105   	0  	11.115	75 	44 	1  	105   	10.2534
76 	109   	1e+06	76 	1e+06	1e+06	109   	0  	12.715	76 	44 	1  	109   	11.1675
77 	116   	1e+06	77 	1e+06	1e+06	116   	0  	12.86 	77 	47 	1  	116   	11.5551
78 	95    	1e+06	78 	1e+06	1e+06	95    	0  	11.565	78 	45 	1  	95    	11.3232
79 	108   	1e+06	79 	1e+06	1e+06	108   	0  	11.515	79 	48 	1  	108   	10.7294
80 	108   	1e+06	80 	1e+06	1e+06	108   	0  	11.185	80 	45 	1  	108   	10.813 
81 	122   	1e+06	81 	1e+06	1e+06	122   	0  	10.595	81 	44 	1  	122   	9.96549
82 	113   	1e+06	82 	1e+06	1e+06	113   	0  	10.81 	82 	51 	1  	113   	9.91231
83 	128   	1e+06	83 	1e+06	1e+06	128   	0  	11.025	83 	45 	1  	128   	10.1432
84 	104   	1e+06	84 	1e+06	1e+06	104   	0  	12.335	84 	46 	1  	104   	11.5032
85 	105   	1e+06	85 	1e+06	1e+06	105   	0  	12.735	85 	56 	1  	105   	12.0318
86 	94    	1e+06	86 	1e+06	1e+06	94    	0  	11.26 	86 	48 	1  	94    	10.884 
87 	117   	1e+06	87 	1e+06	1e+06	117   	0  	11.77 	87 	53 	1  	117   	11.8413
88 	103   	1e+06	88 	1e+06	1e+06	103   	0  	11.6  	88 	48 	1  	103   	11.5451
89 	117   	1e+06	89 	1e+06	1e+06	117   	0  	12.425	89 	57 	1  	117   	11.9597
90 	118   	1e+06	90 	1e+06	1e+06	118   	0  	13.305	90 	57 	1  	118   	12.8192
91 	85    	1e+06	91 	1e+06	1e+06	85    	0  	12.05 	91 	76 	1  	85    	12.4903
92 	117   	1e+06	92 	1e+06	1e+06	117   	0  	12.245	92 	46 	1  	117   	11.1989
93 	118   	1e+06	93 	1e+06	1e+06	118   	0  	11.51 	93 	48 	1  	118   	10.5839
94 	113   	1e+06	94 	1e+06	1e+06	113   	0  	11.03 	94 	48 	1  	113   	10.3846
95 	111   	1e+06	95 	1e+06	1e+06	111   	0  	11.015	95 	46 	1  	111   	10.6501
96 	94    	1e+06	96 	1e+06	1e+06	94    	0  	10.805	96 	43 	1  	94    	10.1886
97 	105   	1e+06	97 	1e+06	1e+06	105   	0  	11.385	97 	46 	1  	105   	10.395 
98 	113   	1e+06	98 	1e+06	1e+06	113   	0  	10.115	98 	47 	1  	113   	9.23752
99 	103   	1e+06	99 	1e+06	1e+06	103   	0  	9.815 	99 	44 	1  	103   	8.96999
100	106   	1e+06	100	1e+06	1e+06	106   	0  	10.11 	100	61 	1  	106   	9.0641 
101	113   	1e+06	101	1e+06	1e+06	113   	0  	9.85  	101	47 	1  	113   	9.23512
102	113   	1e+06	102	1e+06	1e+06	113   	0  	10.315	102	46 	1  	113   	9.84814
103	106   	1e+06	103	1e+06	1e+06	106   	0  	10.68 	103	45 	1  	106   	10.1527
104	87    	1e+06	104	1e+06	1e+06	87    	0  	11.23 	104	49 	1  	87    	10.4989
105	116   	1e+06	105	1e+06	1e+06	116   	0  	10.745	105	49 	1  	116   	9.28655
106	104   	1e+06	106	1e+06	1e+06	104   	0  	11.46 	106	49 	1  	104   	9.47831
107	105   	1e+06	107	1e+06	1e+06	105   	0  	11.18 	107	52 	1  	105   	9.65182
